lift_from_node	lift_from_prop	lift_from_cdeID	lift_from_cdeVersion	lift_from_pv	lift_from_conceptCode	lift_from_model	lift_from_version	lift_to_node	lift_to_prop	lift_to_cdeID	lift_to_cdeVersion	lift_to_pv	lift_to_conceptCode	lift_to_model	lift_to_version	mapping_type
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	cytogenomic_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	methylation_array_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	pathology_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	radiology_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	generic_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CCDI	v3.1.0	sequencing_file	data_category	14824731	1.00	Gene Expression Analysis	C63479	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	cytogenomic_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	methylation_array_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	pathology_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	radiology_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	generic_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	sequencing_file	data_category	14824731	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Genomics	C84343	CCDI	v3.1.0	study	study_data_types	12571096	1.00	Genomics	C84343	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Proteomics	C20085	CCDI	v3.1.0	clinical_measure_file	data_category	14824731	1.00	Proteomics	C20085	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Proteomics	C20085	CCDI	v3.1.0	cytogenomic_file	data_category	14824731	1.00	Proteomics	C20085	CDS	v10.0.0	Concept Code Mapping
clinical_measure_file	data_category	14824731	1.00	Proteomics	C20085	CCDI	v3.1.0	methylation_array_file	data_category	14824731	1.00	Proteomics	C20085	CDS	v10.0.0	Concept Code Mapping
