lift_from_node	lift_from_prop	lift_from_cdeID	lift_from_model	lift_from_version	lift_to_node	lift_to_prop	lift_to_cdeID	lift_to_model	lift_to_version	mapping_type
program	program_name	11444542	CDS	v8.0.2	program	program_name	11444542	CDS	v8.0.3	CDE
program	program_short_name	11459801	CDS	v8.0.2	program	program_short_name	11459801	CDS	v8.0.3	CDE
study	study_name	11459810	CDS	v8.0.2	study	study_name	11459810	CDS	v8.0.3	CDE
study	study_acronym	11459812	CDS	v8.0.2	study	study_acronym	11459812	CDS	v8.0.3	CDE
study	phs_accession	11524544	CDS	v8.0.2	study	phs_accession	11524544	CDS	v8.0.3	CDE
study	funding_agency	11524545	CDS	v8.0.2	study	funding_agency	11524545	CDS	v8.0.3	CDE
study	funding_source_program_name	11524546	CDS	v8.0.2	study	funding_source_program_name	11524546	CDS	v8.0.3	CDE
study	grant_id	3434057	CDS	v8.0.2	study	grant_id	3434057	CDS	v8.0.3	CDE
study	organism_species	6118266	CDS	v8.0.2	study	organism_species	6118266	CDS	v8.0.3	CDE
study	adult_or_childhood_study	11524549	CDS	v8.0.2	study	adult_or_childhood_study	11524549	CDS	v8.0.3	CDE
study	number_of_participants	11555662	CDS	v8.0.2	study	number_of_participants	11555662	CDS	v8.0.3	CDE
study	number_of_samples	11555663	CDS	v8.0.2	study	number_of_samples	11555663	CDS	v8.0.3	CDE
study	study_data_types	14824731	CDS	v8.0.2	study	study_data_types	14824731	CDS	v8.0.3	CDE
study	acl	11555664	CDS	v8.0.2	study	acl	11555664	CDS	v8.0.3	CDE
study	role_or_affiliation	2201713	CDS	v8.0.2	study	role_or_affiliation	2201713	CDS	v8.0.3	CDE
study	title	2663165	CDS	v8.0.2	study	title	2663165	CDS	v8.0.3	CDE
study	first_name	2179589	CDS	v8.0.2	study	first_name	2179589	CDS	v8.0.3	CDE
study	middle_name	2179590	CDS	v8.0.2	study	middle_name	2179590	CDS	v8.0.3	CDE
study	last_name	2179591	CDS	v8.0.2	study	last_name	2179591	CDS	v8.0.3	CDE
study	suffix	2006475	CDS	v8.0.2	study	suffix	2006475	CDS	v8.0.3	CDE
study	email	2517550	CDS	v8.0.2	study	email	2517550	CDS	v8.0.3	CDE
participant	participant_id	12220014	CDS	v8.0.2	participant	participant_id	12220014	CDS	v8.0.3	CDE
participant	race	2192199	CDS	v8.0.2	participant	race	2192199	CDS	v8.0.3	CDE
participant	sex	7572817	CDS	v8.0.2	participant	sex	7572817	CDS	v8.0.3	CDE
participant	ethnicity	2192217	CDS	v8.0.2	participant	ethnicity	2192217	CDS	v8.0.3	CDE
participant	dbGaP_subject_id	14940691	CDS	v8.0.2	participant	dbGaP_subject_id	14940691	CDS	v8.0.3	CDE
diagnosis	disease_type	13471160	CDS	v8.0.2	diagnosis	disease_type	13471160	CDS	v8.0.3	CDE
diagnosis	vital_status	2847330	CDS	v8.0.2	diagnosis	vital_status	2847330	CDS	v8.0.3	CDE
diagnosis	primary_diagnosis	14905532	CDS	v8.0.2	diagnosis	primary_diagnosis	14905532	CDS	v8.0.3	CDE
diagnosis	primary_site	14883047	CDS	v8.0.2	diagnosis	primary_site	14883047	CDS	v8.0.3	CDE
diagnosis	age_at_diagnosis	10609539	CDS	v8.0.2	diagnosis	age_at_diagnosis	10609539	CDS	v8.0.3	CDE
diagnosis	tumor_grade	11325685	CDS	v8.0.2	diagnosis	tumor_grade	11325685	CDS	v8.0.3	CDE
diagnosis	tumor_stage_clinical_m	3440331	CDS	v8.0.2	diagnosis	tumor_stage_clinical_m	3440331	CDS	v8.0.3	CDE
diagnosis	tumor_stage_clinical_n	3440330	CDS	v8.0.2	diagnosis	tumor_stage_clinical_n	3440330	CDS	v8.0.3	CDE
diagnosis	tumor_stage_clinical_t	3440328	CDS	v8.0.2	diagnosis	tumor_stage_clinical_t	3440328	CDS	v8.0.3	CDE
diagnosis	morphology	14714127	CDS	v8.0.2	diagnosis	morphology	14714127	CDS	v8.0.3	CDE
diagnosis	progression_or_recurrence	13529783	CDS	v8.0.2	diagnosis	progression_or_recurrence	13529783	CDS	v8.0.3	CDE
diagnosis	days_to_recurrence	12432576	CDS	v8.0.2	diagnosis	days_to_recurrence	12432576	CDS	v8.0.3	CDE
diagnosis	days_to_last_followup	12426616	CDS	v8.0.2	diagnosis	days_to_last_followup	12426616	CDS	v8.0.3	CDE
diagnosis	last_known_disease_status	12447172	CDS	v8.0.2	diagnosis	last_known_disease_status	12447172	CDS	v8.0.3	CDE
